Year,Mth,FH_Zone,Site_Name,Leps_mot,Leps_AF,Chalimus,Cali_mot,Counts_Pens,Mth_txt,Migration,Quarter,Ov_Thrs,Prop_AF
2011,1,3.2,Thurlow,0.9,0.3,0,0,1,Jan,Rest of Year,Q1,0,0.333
2011,1,3.3,Arrow Pass,0.3,0,0.2,0.1,1,Jan,Rest of Year,Q1,0,0
2011,1,3.3,Burdwood,2.1,0.7,1.5,0.4,2,Jan,Rest of Year,Q1,0,0.333
2011,1,3.3,Cypress Harbour,0.4,0.2,0.1,0,2,Jan,Rest of Year,Q1,0,0.5
2011,1,3.3,Doctor Islets,0.1,0,0.3,0,1,Jan,Rest of Year,Q1,0,0
2011,1,3.3,Noo-la,0.5,0.2,0.4,0,1,Jan,Rest of Year,Q1,0,0.4
2011,1,3.3,Port Elizabeth,0.5,0.2,0.1,0,1,Jan,Rest of Year,Q1,0,0.4
2011,1,3.3,Potts Bay,2.8,1.8,5.2,1.4,2,Jan,Rest of Year,Q1,0,0.643
2011,1,3.3,Shaw Point,0.9,0.3,0.6,0,1,Jan,Rest of Year,Q1,0,0.333
2011,1,3.3,Sir Edmund Bay,0.7,0.3,0.3,0.2,2,Jan,Rest of Year,Q1,0,0.429
2011,1,3.3,Swanson,0.4,0.2,0.1,0,2,Jan,Rest of Year,Q1,0,0.5
2011,1,3.3,Wicklow Point,0,0,0.6,0,1,Jan,Rest of Year,Q1,0,
2011,1,3.4,Bell Island,0,0,0,0,1,Jan,Rest of Year,Q1,0,
2011,1,3.4,Doyle Island,3.7,2.3,0.1,0.3,1,Jan,Rest of Year,Q1,1,0.622
2011,1,3.4,Duncan Island,0,0,0,0,1,Jan,Rest of Year,Q1,0,
2011,1,3.4,Raynor,1.8,0.4,0.3,0.6,1,Jan,Rest of Year,Q1,0,0.222
2011,1,3.4,Simmonds Point,0.8,0.5,0,0.1,1,Jan,Rest of Year,Q1,0,0.625
2011,1,3.5,Goat Cove,0.8,0.3,0.1,0,1,Jan,Rest of Year,Q1,0,0.375
2011,1,3.5,Kid Bay,1.1,0.5,0,0,1,Jan,Rest of Year,Q1,0,0.455
2011,1,3.5,Lime Point,0.2,0.1,0,0,1,Jan,Rest of Year,Q1,0,0.5
2011,1,3.5,Lochalsh Bay,0.6,0.2,0.9,0.3,1,Jan,Rest of Year,Q1,0,0.333
2011,1,3.5,Sheep Passage,0.1,0,0,0,1,Jan,Rest of Year,Q1,0,0
2011,2,2.3,Barkley,0,0,0,0.02,2,Feb,Rest of Year,Q1,0,
2011,2,2.3,Binns Island,0.1,0,0.1,0.2,2,Feb,Rest of Year,Q1,0,0
2011,2,2.3,Cormorant,0,0,0,0,2,Feb,Rest of Year,Q1,0,
2011,2,2.3,Dixon Bay,0.4,0.1,0.9,0,2,Feb,Rest of Year,Q1,0,0.25
2011,2,2.3,Fortune Channel,0.4,0.2,0,0,2,Feb,Rest of Year,Q1,0,0.5
2011,2,2.3,McIntyre Lake,0.1,0.1,0,0,2,Feb,Rest of Year,Q1,0,1
2011,2,2.3,Millar Channel,14.4,1,20.5,0,2,Feb,Rest of Year,Q1,1,0.069
2011,2,2.3,Rant Point,0.2,0.1,0.2,0.1,2,Feb,Rest of Year,Q1,0,0.5
2011,2,2.3,Ross Pass,1.1,0.3,4.4,0.7,2,Feb,Rest of Year,Q1,0,0.273
2011,2,2.3,West Side,0.1,0,0,0,2,Feb,Rest of Year,Q1,0,0
2011,2,2.4,Atrevida,0.3,0.1,0,0,1,Feb,Rest of Year,Q1,0,0.333
2011,2,2.4,Cleagh Creek,2.2,0.5,0.6,1.1,3,Feb,Rest of Year,Q1,0,0.227
2011,2,2.4,Concepcion,0,0,0,0,1,Feb,Rest of Year,Q1,0,
2011,2,2.4,Esperanza,0.8,0.2,0.1,0,1,Feb,Rest of Year,Q1,0,0.25
2011,2,2.4,Koskimo,0.2,0.1,0.1,0.1,1,Feb,Rest of Year,Q1,0,0.5
2011,2,2.4,Mahatta East,1.1,0.7,1.6,0,1,Feb,Rest of Year,Q1,0,0.636
2011,2,2.4,Mahatta West,0.4,0.1,1.1,0.1,1,Feb,Rest of Year,Q1,0,0.25
2011,2,2.4,Muchalat North,0.1,0,0,0,1,Feb,Rest of Year,Q1,0,0
2011,2,2.4,Steamer,0.9,0.3,0.4,0.1,1,Feb,Rest of Year,Q1,0,0.333
2011,2,2.4,Williamson,0.8,0.6,0,0,1,Feb,Rest of Year,Q1,0,0.75
2011,2,3.1,Ahlstrom,2,0.4,0,0,1,Feb,Rest of Year,Q1,0,0.2
2011,2,3.1,Culloden,0.3,0.1,0,0.2,1,Feb,Rest of Year,Q1,0,0.333
2011,2,3.1,Salten,0,0,0,0,1,Feb,Rest of Year,Q1,0,
2011,2,3.1,Site 13,0.1,0,0,0,1,Feb,Rest of Year,Q1,0,0
2011,2,3.2,Barnes Bay,0.6,0.4,0.7,0,1,Feb,Rest of Year,Q1,0,0.667
2011,2,3.2,Bickley Bay,0.1,0,0.1,0,1,Feb,Rest of Year,Q1,0,0
2011,2,3.2,Brougham Point,0.2,0.1,0,0,1,Feb,Rest of Year,Q1,0,0.5
2011,2,3.2,Chancellor Channel,0.4,0.1,0.1,0.7,1,Feb,Rest of Year,Q1,0,0.25
2011,2,3.2,Conville Bay,0.3,0,1.7,0,1,Feb,Rest of Year,Q1,0,0
2011,2,3.2,Far Side,0.4,0.3,0,0,1,Feb,Rest of Year,Q1,0,0.75
2011,2,3.2,Frederick Arm,0.2,0.2,0,0,1,Feb,Rest of Year,Q1,0,1
2011,2,3.2,Hardwicke,0.3,0,0.8,0.1,1,Feb,Rest of Year,Q1,0,0
2011,2,3.2,Lees Bay,0.3,0,0.2,0.3,1,Feb,Rest of Year,Q1,0,0
2011,2,3.2,Phillips Arm,0.2,0.1,0,0,1,Feb,Rest of Year,Q1,0,0.5
2011,2,3.2,Raza Island,0.5,0.4,0,0,2,Feb,Rest of Year,Q1,0,0.8
2011,2,3.2,Sonora Point,1.4,0.2,0.4,0.4,1,Feb,Rest of Year,Q1,0,0.143
2011,2,3.2,Thurlow,0.1,0,0.1,0,1,Feb,Rest of Year,Q1,0,0
2011,2,3.3,Arrow Pass,0.4,0.1,0.4,0.3,1,Feb,Rest of Year,Q1,0,0.25
2011,2,3.3,Burdwood,0.1,0,0,0,1,Feb,Rest of Year,Q1,0,0
2011,2,3.3,Cypress Harbour,0.4,0.1,0,0,1,Feb,Rest of Year,Q1,0,0.25
2011,2,3.3,Doctor Islets,0.1,0,0,0,1,Feb,Rest of Year,Q1,0,0
2011,2,3.3,Maude Island,0.2,0,0.1,0.1,1,Feb,Rest of Year,Q1,0,0
2011,2,3.3,Noo-la,0.5,0.2,0.1,0,1,Feb,Rest of Year,Q1,0,0.4
2011,2,3.3,Port Elizabeth,0.4,0.1,0,0,1,Feb,Rest of Year,Q1,0,0.25
2011,2,3.3,Potts Bay,0.9,0.6,0.4,0,1,Feb,Rest of Year,Q1,0,0.667
2011,2,3.3,Shaw Point,0.4,0.1,0,0,1,Feb,Rest of Year,Q1,0,0.25
2011,2,3.3,Sir Edmund Bay,1.5,0.9,0.1,0.1,1,Feb,Rest of Year,Q1,0,0.6
2011,2,3.3,Swanson,0,0,0,0,1,Feb,Rest of Year,Q1,0,
2011,2,3.3,Upper Retreat,0.1,0,0.5,0.1,1,Feb,Rest of Year,Q1,0,0
2011,2,3.3,Wicklow Point,0.1,0,1.5,0.2,1,Feb,Rest of Year,Q1,0,0
2011,2,3.4,Bell Island,0,0,0,0,1,Feb,Rest of Year,Q1,0,
2011,2,3.4,Shelter Pass,0,0,0,0,1,Feb,Rest of Year,Q1,0,
2011,2,3.5,Goat Cove,0.2,0.2,0,0,1,Feb,Rest of Year,Q1,0,1
2011,2,3.5,Kid Bay,0.4,0.2,0.1,0,1,Feb,Rest of Year,Q1,0,0.5
2011,2,3.5,Lime Point,0.2,0,0.4,0,1,Feb,Rest of Year,Q1,0,0
2011,2,3.5,Lochalsh Bay,0.5,0.3,3.6,1,2,Feb,Rest of Year,Q1,0,0.6
2011,2,3.5,Sheep Passage,0,0,0,0,1,Feb,Rest of Year,Q1,0,
2011,3,2.3,Binns Island,0.5,0.4,0.3,0.7,2,Mar,Out Migration,Q1,0,0.8
2011,3,2.3,Cormorant,0,0,0.1,0,1,Mar,Out Migration,Q1,0,
2011,3,2.3,Fortune Channel,0,0,0,0,2,Mar,Out Migration,Q1,0,
2011,3,2.3,McIntyre Lake,0.3,0.1,0.1,0,2,Mar,Out Migration,Q1,0,0.333
2011,3,2.3,Millar Channel,0.2,0,3.5,0,2,Mar,Out Migration,Q1,0,0
2011,3,2.3,Rant Point,0.5,0.2,0,0.1,2,Mar,Out Migration,Q1,0,0.4
2011,3,2.3,Ross Pass,0.3,0.1,1.7,0,1,Mar,Out Migration,Q1,0,0.333
2011,3,2.4,Atrevida,0.4,0.2,0.1,0,2,Mar,Out Migration,Q1,0,0.5
2011,3,2.4,Cleagh Creek,0.3,0.1,0.3,0,3,Mar,Out Migration,Q1,0,0.333
2011,3,2.4,Concepcion,0.1,0,0,0,2,Mar,Out Migration,Q1,0,0
2011,3,2.4,Esperanza,1.4,0.6,0.1,0,2,Mar,Out Migration,Q1,0,0.429
2011,3,2.4,Koskimo,0.1,0.1,0.2,0,1,Mar,Out Migration,Q1,0,1
2011,3,2.4,Mahatta East,1.4,0.6,1.3,0.1,2,Mar,Out Migration,Q1,0,0.429
2011,3,2.4,Mahatta West,0.7,0.3,0.8,0.2,2,Mar,Out Migration,Q1,0,0.429
2011,3,2.4,Muchalat North,0.5,0.2,0,0,2,Mar,Out Migration,Q1,0,0.4
2011,3,2.4,Steamer,1.1,0.5,0,0,2,Mar,Out Migration,Q1,0,0.455
2011,3,2.4,Williamson,0.8,0.4,0,0,2,Mar,Out Migration,Q1,0,0.5
2011,3,3.1,Ahlstrom,0.4,0.3,0.2,6,2,Mar,Out Migration,Q1,0,0.75
2011,3,3.1,Culloden,0.3,0.1,0,0.6,2,Mar,Out Migration,Q1,0,0.333
2011,3,3.1,Site 13,0.1,0,0,0,1,Mar,Out Migration,Q1,0,0
2011,3,3.2,Bickley Bay,0,0,0.1,0,2,Mar,Out Migration,Q1,0,
2011,3,3.2,Brougham Point,0.6,0.2,0,0,3,Mar,Out Migration,Q1,0,0.333
2011,3,3.2,Chancellor Channel,0.9,0.2,0.2,0.4,2,Mar,Out Migration,Q1,0,0.222
2011,3,3.2,Far Side,0.3,0.3,0.2,0,2,Mar,Out Migration,Q1,0,1
2011,3,3.2,Frederick Arm,0.2,0.1,0,0,2,Mar,Out Migration,Q1,0,0.5
2011,3,3.2,Hardwicke,0.5,0.1,2.2,0.8,2,Mar,Out Migration,Q1,0,0.2
2011,3,3.2,Lees Bay,0.5,0.2,0.8,0.5,2,Mar,Out Migration,Q1,0,0.4
2011,3,3.2,Phillips Arm,0.3,0.1,0,0,2,Mar,Out Migration,Q1,0,0.333
2011,3,3.2,Raza Island,0.2,0.1,0,0.1,2,Mar,Out Migration,Q1,0,0.5
2011,3,3.2,Sonora Point,2.5,0.4,2.8,1.5,2,Mar,Out Migration,Q1,0,0.16
2011,3,3.2,Thurlow,0.1,0,0.6,0.2,3,Mar,Out Migration,Q1,0,0
2011,3,3.3,Arrow Pass,0.3,0.1,0.2,0.3,2,Mar,Out Migration,Q1,0,0.333
2011,3,3.3,Burdwood,0.2,0.1,0,0,2,Mar,Out Migration,Q1,0,0.5
2011,3,3.3,Cypress Harbour,0.5,0.2,0,0,1,Mar,Out Migration,Q1,0,0.4
2011,3,3.3,Doctor Islets,0,0,0,0,2,Mar,Out Migration,Q1,0,
2011,3,3.3,Maude Island,0,0,0,0,2,Mar,Out Migration,Q1,0,
2011,3,3.3,Noo-la,0.4,0.2,0.2,0.1,2,Mar,Out Migration,Q1,0,0.5
2011,3,3.3,Port Elizabeth,0.1,0,0,0,2,Mar,Out Migration,Q1,0,0
2011,3,3.3,Potts Bay,0,0,0,0.1,2,Mar,Out Migration,Q1,0,
2011,3,3.3,Shaw Point,0.4,0.3,0.1,0,2,Mar,Out Migration,Q1,0,0.75
2011,3,3.3,Swanson,0.1,0,0.3,0.1,2,Mar,Out Migration,Q1,0,0
2011,3,3.3,Upper Retreat,0.1,0,0.6,0.5,2,Mar,Out Migration,Q1,0,0
2011,3,3.3,Wicklow Point,0.2,0.1,2,0.7,2,Mar,Out Migration,Q1,0,0.5
2011,3,3.4,Marsh Bay,1.1,0.2,0.6,0.5,2,Mar,Out Migration,Q1,0,0.182
2011,3,3.4,Shelter Bay,0,0,0,0.1,2,Mar,Out Migration,Q1,0,
2011,3,3.4,Shelter Pass,0.1,0,0,0,2,Mar,Out Migration,Q1,0,0
2011,3,3.4,Wehlis Bay,0.1,0,0.2,0.1,1,Mar,Out Migration,Q1,0,0
2011,3,3.5,Goat Cove,0.2,0.1,0.1,0,2,Mar,Out Migration,Q1,0,0.5
2011,3,3.5,Jackson Pass,0.1,0.1,0.3,0.3,2,Mar,Out Migration,Q1,0,1
2011,3,3.5,Kid Bay,0.4,0.2,0.3,0,2,Mar,Out Migration,Q1,0,0.5
2011,3,3.5,Lime Point,0.1,0,0.2,0,2,Mar,Out Migration,Q1,0,0
2011,3,3.5,Lochalsh Bay,0.5,0.2,1.7,0.7,2,Mar,Out Migration,Q1,0,0.4
2011,3,3.5,Sheep Passage,0.1,0.1,0.5,0,2,Mar,Out Migration,Q1,0,1
2011,4,2.3,Bawden,0,0,0.1,0,1,Apr,Out Migration,Q2,0,
2011,4,2.3,Bedwell,0.1,0,0.2,0,1,Apr,Out Migration,Q2,0,0
2011,4,2.3,Binns Island,0.8,0.6,0.4,2.1,2,Apr,Out Migration,Q2,0,0.75
2011,4,2.3,Fortune Channel,0,0,0,0,2,Apr,Out Migration,Q2,0,
2011,4,2.3,McIntyre Lake,0.7,0.2,0.2,0.1,2,Apr,Out Migration,Q2,0,0.286
2011,4,2.3,Millar Channel,0,0,0.1,0,2,Apr,Out Migration,Q2,0,
2011,4,2.3,Mussel Rock,0.1,0,0.1,0,2,Apr,Out Migration,Q2,0,0
2011,4,2.3,Rant Point,1.3,0.4,0.1,0,2,Apr,Out Migration,Q2,0,0.308
2011,4,2.3,Ross Pass,0.1,0,0.2,0.1,2,Apr,Out Migration,Q2,0,0
2011,4,2.3,West Side,0.3,0,0.1,0,2,Apr,Out Migration,Q2,0,0
2011,4,2.4,Atrevida,0.3,0.1,0.1,0,2,Apr,Out Migration,Q2,0,0.333
2011,4,2.4,Cleagh Creek,0,0,0.1,0,2,Apr,Out Migration,Q2,0,
2011,4,2.4,Concepcion,0.1,0,0,0,2,Apr,Out Migration,Q2,0,0
2011,4,2.4,Esperanza,0.5,0.2,0,0,2,Apr,Out Migration,Q2,0,0.4
2011,4,2.4,Mahatta East,1.9,0.9,1.6,0.1,2,Apr,Out Migration,Q2,0,0.474
2011,4,2.4,Mahatta West,0.9,0.4,0.5,0,2,Apr,Out Migration,Q2,0,0.444
2011,4,2.4,Muchalat North,0.6,0.3,0,0.1,2,Apr,Out Migration,Q2,0,0.5
2011,4,2.4,Steamer,0.3,0.1,0,0,2,Apr,Out Migration,Q2,0,0.333
2011,4,2.4,Williamson,0.3,0.1,0,0,2,Apr,Out Migration,Q2,0,0.333
2011,4,3.1,Ahlstrom,0.3,0.1,0.2,1.1,2,Apr,Out Migration,Q2,0,0.333
2011,4,3.1,Culloden,0.3,0.1,0.1,0.2,2,Apr,Out Migration,Q2,0,0.333
2011,4,3.1,Site 13,0,0,0,0,1,Apr,Out Migration,Q2,0,
2011,4,3.2,Bickley Bay,0.1,0,0.6,0,2,Apr,Out Migration,Q2,0,0
2011,4,3.2,Brougham Point,0.2,0,0.3,0,2,Apr,Out Migration,Q2,0,0
2011,4,3.2,Chancellor Channel,0.6,0.4,0.3,0.2,2,Apr,Out Migration,Q2,0,0.667
2011,4,3.2,Conville Bay,0,0,0.3,0,2,Apr,Out Migration,Q2,0,
2011,4,3.2,Far Side,0.1,0.1,0.2,0,2,Apr,Out Migration,Q2,0,1
2011,4,3.2,Frederick Arm,0.1,0,0.1,0,2,Apr,Out Migration,Q2,0,0
2011,4,3.2,Hardwicke,0.5,0.1,1.1,0.7,2,Apr,Out Migration,Q2,0,0.2
2011,4,3.2,Lees Bay,0.9,0.4,0.7,0.6,2,Apr,Out Migration,Q2,0,0.444
2011,4,3.2,Phillips Arm,0.4,0.2,0,0,2,Apr,Out Migration,Q2,0,0.5
2011,4,3.2,Raza Island,0.1,0.1,0,0,2,Apr,Out Migration,Q2,0,1
2011,4,3.2,Sonora Point,2.4,0.9,3.3,1.1,2,Apr,Out Migration,Q2,0,0.375
2011,4,3.2,Thurlow,0.2,0.1,2.5,0.9,2,Apr,Out Migration,Q2,0,0.5
2011,4,3.3,Arrow Pass,0.2,0.1,0.5,0.4,2,Apr,Out Migration,Q2,0,0.5
2011,4,3.3,Burdwood,0.1,0.1,0.2,0,2,Apr,Out Migration,Q2,0,1
2011,4,3.3,Cypress Harbour,0.8,0.5,0,0,1,Apr,Out Migration,Q2,0,0.625
2011,4,3.3,Doctor Islets,0,0,1.2,0,3,Apr,Out Migration,Q2,0,
2011,4,3.3,Maude Island,0,0,0,0,2,Apr,Out Migration,Q2,0,
2011,4,3.3,Noo-la,0.2,0.1,0,0.4,2,Apr,Out Migration,Q2,0,0.5
2011,4,3.3,Port Elizabeth,0,0,0,0,2,Apr,Out Migration,Q2,0,
2011,4,3.3,Potts Bay,0,0,4.4,0,2,Apr,Out Migration,Q2,0,
2011,4,3.3,Swanson,0,0,0.4,0.2,2,Apr,Out Migration,Q2,0,
2011,4,3.3,Upper Retreat,0.2,0,0.5,0.4,2,Apr,Out Migration,Q2,0,0
2011,4,3.3,Wicklow Point,0.4,0.1,3,0.9,2,Apr,Out Migration,Q2,0,0.25
2011,4,3.4,Bell Island,0,0,0,0,1,Apr,Out Migration,Q2,0,
2011,4,3.4,Marsh Bay,1.2,0.4,0.7,0.2,2,Apr,Out Migration,Q2,0,0.333
2011,4,3.4,Raynor,0,0,0,0,2,Apr,Out Migration,Q2,0,
2011,4,3.4,Shelter Bay,0,0,0,0,1,Apr,Out Migration,Q2,0,
2011,4,3.4,Shelter Pass,0,0,0,0,2,Apr,Out Migration,Q2,0,
2011,4,3.4,Wehlis Bay,0.2,0,0.2,0,2,Apr,Out Migration,Q2,0,0
2011,4,3.5,Goat Cove,0.2,0.1,0.8,0,2,Apr,Out Migration,Q2,0,0.5
2011,4,3.5,Jackson Pass,0.1,0,0.4,0.2,2,Apr,Out Migration,Q2,0,0
2011,4,3.5,Kid Bay,0.4,0.2,0.4,0.1,2,Apr,Out Migration,Q2,0,0.5
2011,4,3.5,Lime Point,0.2,0,0.5,0,2,Apr,Out Migration,Q2,0,0
2011,4,3.5,Lochalsh Bay,0.6,0.1,1.1,2.1,2,Apr,Out Migration,Q2,0,0.167
2011,4,3.5,Sheep Passage,0.4,0.1,0.9,0,2,Apr,Out Migration,Q2,0,0.25
2011,5,2.3,Bare Bluff,0.2,0.1,0.1,0,1,May,Out Migration,Q2,0,0.5
2011,5,2.3,Bawden,0.1,0,0.4,0.1,2,May,Out Migration,Q2,0,0
2011,5,2.3,Bedwell,0.3,0.1,0.1,0.2,2,May,Out Migration,Q2,0,0.333
2011,5,2.3,Binns Island,2,1.8,1.4,1.7,1,May,Out Migration,Q2,0,0.9
2011,5,2.3,Fortune Channel,0,0,0,0,2,May,Out Migration,Q2,0,
2011,5,2.3,McIntyre Lake,0.9,0.3,0.2,0.1,1,May,Out Migration,Q2,0,0.333
2011,5,2.3,Millar Channel,0,0,1.3,0,2,May,Out Migration,Q2,0,
2011,5,2.3,Mussel Rock,0.4,0,0.7,0.1,2,May,Out Migration,Q2,0,0
2011,5,2.3,Rant Point,1.2,0.7,0.3,0.2,2,May,Out Migration,Q2,0,0.583
2011,5,2.3,Ross Pass,0.2,0,0.5,0,2,May,Out Migration,Q2,0,0
2011,5,2.3,Saranac Island,0.6,0,0.1,0,2,May,Out Migration,Q2,0,0
2011,5,2.3,West Side,0.6,0.2,0.1,0.1,2,May,Out Migration,Q2,0,0.333
2011,5,2.4,Atrevida,0.6,0.1,0.3,0,2,May,Out Migration,Q2,0,0.167
2011,5,2.4,Cleagh Creek,0,0,0.4,0,1,May,Out Migration,Q2,0,
2011,5,2.4,Concepcion,0.1,0,0,0,2,May,Out Migration,Q2,0,0
2011,5,2.4,Esperanza,0.8,0.3,0,0,2,May,Out Migration,Q2,0,0.375
2011,5,2.4,Mahatta East,1.7,0.7,1.2,0.1,2,May,Out Migration,Q2,0,0.412
2011,5,2.4,Mahatta West,1.3,0.5,0.6,0,1,May,Out Migration,Q2,0,0.385
2011,5,2.4,Muchalat North,1,0.4,0,0.1,2,May,Out Migration,Q2,0,0.4
2011,5,2.4,Steamer,0.6,0.2,0,0,2,May,Out Migration,Q2,0,0.333
2011,5,2.4,Williamson,1.2,0.6,0.2,0,1,May,Out Migration,Q2,0,0.5
2011,5,3.1,Ahlstrom,0.1,0,0,0.1,2,May,Out Migration,Q2,0,0
2011,5,3.1,Culloden,0,0,0,0.1,2,May,Out Migration,Q2,0,
2011,5,3.1,Site 13,0.1,0,0.1,0,1,May,Out Migration,Q2,0,0
2011,5,3.2,Bickley Bay,0.2,0,0.9,0,2,May,Out Migration,Q2,0,0
2011,5,3.2,Brougham Point,0.5,0.1,3.6,0.7,2,May,Out Migration,Q2,0,0.2
2011,5,3.2,Chancellor Channel,2,0.7,1.2,0.6,2,May,Out Migration,Q2,0,0.35
2011,5,3.2,Conville Bay,0.1,0,0.3,0,2,May,Out Migration,Q2,0,0
2011,5,3.2,Far Side,0.7,0.4,1.3,0.1,2,May,Out Migration,Q2,0,0.571
2011,5,3.2,Frederick Arm,0.4,0.1,1.1,0.3,2,May,Out Migration,Q2,0,0.25
2011,5,3.2,Hardwicke,0.9,0.3,1.5,1.8,2,May,Out Migration,Q2,0,0.333
2011,5,3.2,Lees Bay,2.8,1,3.8,1.6,2,May,Out Migration,Q2,0,0.357
2011,5,3.2,Sonora Point,0.1,0.1,0.2,0,2,May,Out Migration,Q2,0,1
2011,5,3.2,Thurlow,0.8,0.2,3.9,1,3,May,Out Migration,Q2,0,0.25
2011,5,3.2,Venture Point,0.2,0,0.6,0.6,2,May,Out Migration,Q2,0,0
2011,5,3.3,Arrow Pass,0.1,0,0.5,0.1,1,May,Out Migration,Q2,0,0
2011,5,3.3,Burdwood,0.1,0,0.8,0.3,2,May,Out Migration,Q2,0,0
2011,5,3.3,Cecil Island,0.4,0.2,0.2,0.1,2,May,Out Migration,Q2,0,0.5
2011,5,3.3,Doctor Islets,0.3,0,2.3,0.2,2,May,Out Migration,Q2,0,0
2011,5,3.3,Maude Island,0,0,0.1,0.1,2,May,Out Migration,Q2,0,
2011,5,3.3,Noo-la,0.1,0,0,0,2,May,Out Migration,Q2,0,0
2011,5,3.3,Port Elizabeth,0.4,0.1,2,0.2,2,May,Out Migration,Q2,0,0.25
2011,5,3.3,Potts Bay,0.1,0,13.3,0.1,2,May,Out Migration,Q2,0,0
2011,5,3.3,Sargeaunt Pass,0,0,0.2,0,2,May,Out Migration,Q2,0,
2011,5,3.3,Swanson,0.4,0,3,0.5,2,May,Out Migration,Q2,0,0
2011,5,3.3,Upper Retreat,0.2,0,0.8,0,3,May,Out Migration,Q2,0,0
2011,5,3.3,Wicklow Point,0.7,0.2,8.7,2.3,2,May,Out Migration,Q2,0,0.286
2011,5,3.4,Bell Island,0,0,0,0.1,2,May,Out Migration,Q2,0,
2011,5,3.4,Marsh Bay,0.9,0.6,0.3,0.1,1,May,Out Migration,Q2,0,0.667
2011,5,3.4,Raynor,0,0,0.4,0.1,2,May,Out Migration,Q2,0,
2011,5,3.4,Shelter Bay,0.2,0.1,0.5,0.1,2,May,Out Migration,Q2,0,0.5
2011,5,3.4,Shelter Pass,0.1,0,0.3,0,2,May,Out Migration,Q2,0,0
2011,5,3.4,Wehlis Bay,0.3,0,1,0.1,1,May,Out Migration,Q2,0,0
2011,5,3.5,Goat Cove,0.4,0.2,0.4,0.1,2,May,Out Migration,Q2,0,0.5
